Ticker,name,sector,trailing_pe,forward_pe,price_to_book,return_on_equity,profit_margin,debt_to_equity,free_cashflow,shares_outstanding,total_cash,total_debt,beta,revenue_growth,earnings_growth,currentPrice,targetMeanPrice,momentum_12_1,momentum_6_1,trailing_return_1m,value_score,momentum_score,quality_score,factor_score,factor_rank,predicted_outperformance_probability,screen_score,screen_rank
NVDA,NVIDIA Corporation,Technology,37.159184,16.379477,28.133497,1.01485,0.55603004,7.255,58128998400.0,24300000000,62556000256,11411999744,2.335,0.732,0.956,182.08,268.22195,0.747075446705866,-0.052180427790801676,0.0016288535954878114,-0.3093936721753233,0.13969613294771868,2.4120057563758444,0.6642075881830917,1,0.5070052470123818,0.6312965450870347,1
GOOGL,Alphabet Inc.,Communication Services,29.354301,23.628263,9.237039,0.35705003,0.32810003,16.133,38088376320.0,5822000000,126843002880,66995998720,1.128,0.18,0.311,317.32,376.28964,0.9860961392308167,0.21750659694033492,0.023968334802724645,0.16179857133273506,1.0043687103064418,0.5188205605056159,0.5638047167253966,2,0.505547934171683,0.5422482774462727,2
CAT,"Caterpillar, Inc.",Industrials,40.95276,27.800367,16.839819,0.43526,0.13144,206.67,5838750208.0,465287332,9333000192,44058001408,1.519,0.18,-0.114,771.55,742.17535,1.2575515612170407,0.3748197191148943,0.06394474440621645,-0.13729206753990492,1.7727808971443126,-0.28048048012925914,0.488276946322765,3,0.507401050387833,0.513241975400009,3
COP,ConocoPhillips,Energy,19.719685,17.39795,2.3790255,0.12357,0.13252,37.828,7486875136.0,1218853041,6981000192,24394000384,0.192,-0.068,-0.39,125.22,131.03703,0.271179547930396,0.264610798335994,0.12556594017217404,0.6158651564000989,0.897990152507087,-0.29620430376129364,0.4409880669891269,4,0.48981054241689453,0.25362147564026843,4
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,17.641537,13.891715,2.5402768,0.13861,0.28917998,596.073,,294993942,996629020672,747582980096,1.311,0.152,0.173,905.5401,936.2,0.6400393663700987,0.05045255690494965,0.05201972485806916,0.45732458521010116,0.4827151600350392,-0.44954462646276244,0.19415052289697038,9,0.5010451689796263,0.22550687436093012,5
MSFT,Microsoft Corporation,Technology,23.439573,19.864056,7.1145105,0.34390998,0.39044,31.539,53640626176.0,7425629076,89461997568,123278000128,1.107,0.167,0.598,374.33,587.3139,0.1044753964788463,-0.2062227821768572,-0.08966643113348227,0.3689790170651648,-1.2429790991525735,0.5757400748347501,-0.13317800628016804,18,0.5186865701351009,0.22355055507231386,6
AMZN,"Amazon.com, Inc.",Consumer Cyclical,30.900839,23.555,5.7758574,0.22286,0.108339995,43.435,23793125376.0,10734920870,123028996096,178546999296,1.383,0.136,0.05,221.25,281.27344,0.1950563440246631,-0.028700232110718593,0.0026265069225632764,0.32389720430110314,-0.3529906944424755,-0.39719586009952046,-0.12934147957933645,17,0.5169253190444887,0.20355596149605815,7
META,"Meta Platforms, Inc.",Communication Services,26.10486,17.027847,7.132193,0.30238,0.30084,39.164,23432374272.0,2187177748,81592000512,85080997888,1.309,0.238,0.107,612.42,860.246,0.21575257509696555,-0.09172211502001704,-0.10749257224183972,0.40809875720194705,-1.0022643693308269,0.6874203991764899,-0.0017318444921609333,13,0.5090551647792393,0.19153635246086678,8
MS,Morgan Stanley,Financial Services,17.240353,14.1898775,2.7346935,0.15614,0.23986,455.747,,1581386814,600391024640,513408008192,1.182,0.11,0.207,176.024,190.85715,0.5247933314412758,0.02883825361120973,0.05091400877139951,0.451091151743842,0.3223428671750642,-0.2377973577546423,0.1993626992952245,8,0.4976754765173027,0.18576285021137784,9
NFLX,"Netflix, Inc.",Communication Services,39.284584,25.793407,15.76618,0.42762002,0.24304001,63.782,24817524736.0,4237323340,9062359040,16975837184,1.669,0.176,0.327,99.39,113.89578,0.07976658487492228,-0.14143519565918594,-0.0020197632298767365,-0.13117436977232522,-0.7061885969904722,0.13358417400977238,-0.25300178616404734,20,0.5199703157304308,0.15620508893064042,10
BAC,Bank of America Corporation,Financial Services,13.622047,10.412822,1.3501209,0.10217,0.28401,,,7145709181,770163015680,767072010240,1.237,0.072,0.212,51.9,60.58,0.3362174520129795,-0.0290448506956692,0.033717093137905385,0.5419898155282736,-0.059994986834673046,-0.0012122694586766403,0.1683345092051572,10,0.49017339016992195,0.06743648530273658,11
XOM,Exxon Mobil Corporation,Energy,23.31642,16.269104,2.5168765,0.110810004,0.089049995,18.936,12229749760.0,4166763453,10680999936,50487001088,0.288,-0.013,-0.11,156.22,160.29167,0.39113650671363076,0.3557236086737481,0.08398913024502552,0.5571104933602001,0.9839860899271677,-0.4611339478688166,0.40104361978993375,5,0.47640096118301917,0.052981134786176665,12
