Date,AAPL,AMZN,CVX,GOOGL,GS,HD,JPM,META,MSFT,NVDA,UNH,XOM
2020-12-31,0.0,0.0,0.0,0.0,0.0,0.25,-0.25,0.0,0.0,0.25,0.0,-0.25
2021-04-05,0.25,0.0,0.0,0.0,0.25,-0.25,0.0,-0.25,0.0,0.0,0.0,0.0
2021-07-02,0.0,-0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,-0.25,0.0,0.0
2021-10-01,0.0,-0.25,-0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-31,0.0,0.0,0.0,0.25,0.0,0.0,0.0,-0.25,0.0,0.25,-0.25,0.0
2022-04-01,0.0,-0.25,0.25,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.25
2022-07-05,0.0,-0.25,0.25,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.25
2022-10-03,0.0,0.0,0.25,0.0,0.0,0.0,0.0,-0.25,0.0,-0.25,0.0,0.25
2023-01-03,0.0,-0.25,0.25,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.25
2023-04-04,0.0,-0.25,0.0,0.0,0.0,0.0,0.25,-0.25,0.0,0.0,0.0,0.25
2023-07-06,0.0,-0.25,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.25,0.0,0.25
2023-10-04,0.0,0.0,0.0,-0.25,0.0,0.25,0.0,0.0,0.0,0.25,-0.25,0.0
2024-01-04,0.25,0.0,-0.25,0.0,-0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0
2024-04-05,0.0,0.0,0.0,-0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,-0.25
2024-07-08,-0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,-0.25,0.25,0.0,0.0
2024-10-04,0.0,0.0,-0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,-0.25
2025-01-06,0.0,-0.25,0.0,-0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0
2025-04-08,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,-0.25,0.0,-0.25,0.0
2025-07-10,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,-0.25,-0.25,0.0
2025-10-08,-0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,-0.25,0.0
2026-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
